,Mye_C1QC,Mye_FABP4,Mye_InflamMono_1,Mye_InflamMono_2,Mye_NonClassicalMono,Mye_TissueResMac_1,Mye_TissueResMac_2,Mye_TissueResMac_3
Mye_C1QC,0.2546,0.1245,0.0163,0.0039,0.0046,0.178,0.0503,0.3679
Mye_ClassicalMono,0.1835,0.1343,0.113,0.0169,0.1172,0.1296,0.0392,0.2663
Mye_FABP4,0.0981,0.6547,0.0086,0.0025,0.003,0.0687,0.0197,0.1448
Mye_InflamMono,0.2185,0.1543,0.0807,0.0214,0.0242,0.1495,0.0422,0.3091
Mye_NonClassicalMono,0.106,0.0705,0.2118,0.0075,0.3543,0.0753,0.0219,0.1527
Mye_SPP1,0.234,0.1968,0.0204,0.007,0.0065,0.1572,0.045,0.3332
Mye_TissueResMac,0.0638,0.028,0.0041,0.0009,0.0011,0.1966,0.0989,0.6067
